unit_from,unit_to,factor
Arcsecond,Degree,2.78E-04
Arcsecond,Gradian,3.09E-04
Arcsecond,Milliradian,4.85E-06
Arcsecond,Minute of arc,0.0166667
Arcsecond,Radian,4.85E-06
Degree,Arcsecond,3600
Degree,Gradian,1.11111
Degree,Milliradian,17.4533
Degree,Minute of arc,60
Degree,Radian,0.0174533
Gradian,Arcsecond,3240
Gradian,Degree,0.9
Gradian,Milliradian,15.7079633
Gradian,Minute of arc,54
Gradian,Radian,0.015707963
Milliradian,Arcsecond,206264.806
Milliradian,Degree,0.0572958
Milliradian,Gradian,0.063662
Milliradian,Minute of arc,3.43775
Milliradian,Radian,0.001
Minute of arc,Arcsecond,60
Minute of arc,Degree,0.0166667
Minute of arc,Gradian,0.0185185
Minute of arc,Milliradian,0.29159
Minute of arc,Radian,0.00029159
Radian,Arcsecond,206264.806
Radian,Degree,57.2958
Radian,Gradian,63.662
Radian,Milliradian,1000
Radian,Minute of arc,3437.75
