unit_from,unit_to,factor
Bit per second,Kilobit per second,0.001
Bit per second,Kilobyte per second,0.000125
Bit per second,Kibibit per second,0.000976563
Bit per second,Megabit per second,1.00E-06
Bit per second,Megabyte per second,1.25E-07
Bit per second,Mebibit per second,9.54E-07
Bit per second,Gigabit per second,1.00E-09
Bit per second,Gigabyte per second,1.25E-10
Bit per second,Gibibit per second,9.31E-10
Bit per second,Terabit per second,1.00E-12
Bit per second,Terabyte per second,1.25E-13
Bit per second,Tebibit per second,9.09E-13
Kilobit per second,Bit per second,1000
Kilobit per second,Kilobyte per second,0.125
Kilobit per second,Kibibit per second,0.976563
Kilobit per second,Megabit per second,0.001
Kilobit per second,Megabyte per second,0.000125
Kilobit per second,Mebibit per second,0.000953674
Kilobit per second,Gigabit per second,1.00E-06
Kilobit per second,Gigabyte per second,1.25E-07
Kilobit per second,Gibibit per second,9.54E-07
Kilobit per second,Terabit per second,1.00E-09
Kilobit per second,Terabyte per second,1.25E-10
Kilobit per second,Tebibit per second,9.09E-10
Kilobyte per second,Bit per second,8000
Kilobyte per second,Kilobit per second,8
Kilobyte per second,Kibibit per second,7.8125
Kilobyte per second,Megabit per second,0.008
Kilobyte per second,Megabyte per second,0.001
Kilobyte per second,Mebibit per second,7.63E-06
Kilobyte per second,Gigabit per second,1.00E-08
Kilobyte per second,Gigabyte per second,1.25E-09
Kilobyte per second,Gibibit per second,9.31E-09
Kilobyte per second,Terabit per second,1.00E-11
Kilobyte per second,Terabyte per second,1.25E-12
Kilobyte per second,Tebibit per second,9.09E-12
Kibibit per second,Bit per second,1024
Kibibit per second,Kilobit per second,1.024
Kibibit per second,Kilobyte per second,0.128
Kibibit per second,Megabit per second,0.001024
Kibibit per second,Megabyte per second,0.000128
Kibibit per second,Mebibit per second,0.000976563
Kibibit per second,Gigabit per second,1.05E-06
Kibibit per second,Gigabyte per second,1.31E-07
Kibibit per second,Gibibit per second,9.54E-07
Kibibit per second,Terabit per second,1.07E-09
Kibibit per second,Terabyte per second,1.34E-10
Kibibit per second,Tebibit per second,1.05E-09
Megabit per second,Bit per second,1.00E+06
Megabit per second,Kilobit per second,1000
Megabit per second,Kilobyte per second,125
Megabit per second,Kibibit per second,976.563
Megabit per second,Megabyte per second,0.125
Megabit per second,Mebibit per second,0.000953674
Megabit per second,Gigabit per second,0.001
Megabit per second,Gigabyte per second,0.000125
Megabit per second,Gibibit per second,0.000976563
Megabit per second,Terabit per second,1.00E-06
Megabit per second,Terabyte per second,1.25E-07
Megabit per second,Tebibit per second,9.09E-07
Megabyte per second,Bit per second,8.00E+06
Megabyte per second,Kilobit per second,8000
Megabyte per second,Kilobyte per second,1000
Megabyte per second,Kibibit per second,7812.5
Megabyte per second,Megabit per second,8
Megabyte per second,Mebibit per second,7.63E-06
Megabyte per second,Gigabit per second,0.0001
Megabyte per second,Gigabyte per second,0.000125
Megabyte per second,Gibibit per second,0.000976563
Megabyte per second,Terabit per second,1.00E-08
Megabyte per second,Terabyte per second,1.25E-09
Megabyte per second,Tebibit per second,9.09E-09
Mebibit per second,Bit per second,1.05E+06
Mebibit per second,Kilobit per second,1048.58
Mebibit per second,Kilobyte per second,131.072
Mebibit per second,Kibibit per second,1024
Mebibit per second,Megabit per second,1.04858
Mebibit per second,Megabyte per second,0.131072
Mebibit per second,Gigabit per second,0.00104858
Mebibit per second,Gigabyte per second,0.000131072
Mebibit per second,Gibibit per second,0.001024
Mebibit per second,Terabit per second,1.07E-06
Mebibit per second,Terabyte per second,1.34E-07
Mebibit per second,Tebibit per second,1.05E-06
Gigabit per second,Bit per second,1.00E+09
Gigabit per second,Kilobit per second,1.00E+06
Gigabit per second,Kilobyte per second,125000
Gigabit per second,Kibibit per second,976563
Gigabit per second,Megabit per second,1000
Gigabit per second,Megabyte per second,125
Gigabit per second,Mebibit per second,953.674
Gigabit per second,Gigabyte per second,0.001
Gigabit per second,Gibibit per second,0.0078125
Gigabit per second,Terabit per second,0.001
Gigabit per second,Terabyte per second,0.000125
Gigabit per second,Tebibit per second,9.09E-07
Gigabyte per second,Bit per second,8.00E+09
Gigabyte per second,Kilobit per second,8.00E+06
Gigabyte per second,Kilobyte per second,1.00E+06
Gigabyte per second,Kibibit per second,7.81E+06
Gigabyte per second,Megabit per second,8000
Gigabyte per second,Megabyte per second,1000
Gigabyte per second,Mebibit per second,7.63E-06
Gigabyte per second,Gigabit per second,0.001
Gigabyte per second,Gibibit per second,0.0078125
Gigabyte per second,Terabit per second,1.00E-06
Gigabyte per second,Terabyte per second,0.000125
Gigabyte per second,Tebibit per second,9.09E-09
Gibibit per second,Bit per second,1.07E+09
Gibibit per second,Kilobit per second,1.07E+06
Gibibit per second,Kilobyte per second,134217.728
Gibibit per second,Kibibit per second,131072
Gibibit per second,Megabit per second,1048.58
Gibibit per second,Megabyte per second,131.072
