unit_from,unit_to,factor
Mile per hour,Foot per second,1.46667
Mile per hour,Meter per second,0.44704
Mile per hour,Kilometer per hour,1.60934
Mile per hour,Knot,0.868976
Foot per second,Mile per hour,0.681818
Foot per second,Meter per second,0.3048
Foot per second,Kilometer per hour,1.09728
Foot per second,Knot,0.592484
Meter per second,Mile per hour,2.23694
Meter per second,Foot per second,3.28084
Meter per second,Kilometer per hour,3.6
Meter per second,Knot,1.94384
Kilometer per hour,Mile per hour,0.621371
Kilometer per hour,Foot per second,0.911344
Kilometer per hour,Meter per second,0.277778
Kilometer per hour,Knot,0.539957
Knot,Mile per hour,1.15078
Knot,Foot per second,1.68781
Knot,Meter per second,0.514444
Knot,Kilometer per hour,1.852
