unit_from,unit_to,factor,
US liquid gallon,US liquid quart,4,
US liquid gallon,US liquid pint,8,
US liquid gallon,US legal cup,16,
US liquid gallon,Fluid ounce,128,
US liquid gallon,US tablespoon,256,
US liquid gallon,US teaspoon,768,
US liquid gallon,Cubic meter,0.00378541,
US liquid gallon,Liter,3.78541,
US liquid gallon,Milliliter,3785.41,
US liquid gallon,Imperial gallon,0.832674,
US liquid gallon,Imperial quart,3.3307,
US liquid gallon,Imperial pint,6.66139,
US liquid gallon,Imperial cup,8.32674,
US liquid gallon,Imp. fluid ounce,33.3067,
US liquid gallon,Imperial tablespoon,66.6134,
US liquid gallon,Imperial teaspoon,199.84,
US liquid gallon,Cubic foot,0.133681,
US liquid gallon,Cubic inch,231,
US liquid quart,US liquid gallon,0.25,
US liquid quart,US liquid pint,2,
US liquid quart,US legal cup,4,
US liquid quart,Fluid ounce,32,
US liquid quart,US tablespoon,64,
US liquid quart,US teaspoon,192,
US liquid quart,Cubic meter,9.46E-06,
US liquid quart,Liter,0.946353,
US liquid quart,Milliliter,946.353,
US liquid quart,Imperial gallon,0.208169,
US liquid quart,Imperial quart,0.832676,
US liquid quart,Imperial pint,1.66535,
US liquid quart,Imperial cup,2.08169,
US liquid quart,Imp. fluid ounce,8.32676,
US liquid quart,Imperial tablespoon,16.6535,
US liquid quart,Imperial teaspoon,49.9605,
US liquid quart,Cubic foot,0.0334202,
US liquid quart,Cubic inch,57.75,
US liquid pint,US liquid gallon,0.125,
US liquid pint,US liquid quart,0.5,
US liquid pint,US legal cup,2,
US liquid pint,Fluid ounce,16,
US liquid pint,US tablespoon,32,
US liquid pint,US teaspoon,96,
US liquid pint,Cubic meter,4.73E-06,
US liquid pint,Liter,0.473176,
US liquid pint,Milliliter,473.176,
US liquid pint,Imperial gallon,0.104085,
US liquid pint,Imperial quart,0.416341,
US liquid pint,Imperial pint,0.832682,
US liquid pint,Imperial cup,1.04086,
US liquid pint,Imp. fluid ounce,4.16345,
US liquid pint,Imperial tablespoon,8.32691,
US liquid pint,Imperial teaspoon,24.9807,
US liquid pint,Cubic foot,0.0167101,
US liquid pint,Cubic inch,28.875,
US legal cup,US liquid gallon,0.0625,
US legal cup,US liquid quart,0.25,
US legal cup,US liquid pint,0.5,
US legal cup,Fluid ounce,8,
US legal cup,US tablespoon,16,
US legal cup,US teaspoon,48,
US legal cup,Cubic meter,2.37E-06,
US legal cup,Liter,0.236588,
US legal cup,Milliliter,236.588,
US legal cup,Imperial gallon,0.0520421,
US legal cup,Imperial quart,0.208168,
US legal cup,Imperial pint,0.416336,
US legal cup,Imperial cup,0.520421,
US legal cup,Imp. fluid ounce,2.08337,
US legal cup,Imperial tablespoon,4.16675,
US legal cup,Imperial teaspoon,12.5002,
US legal cup,Cubic foot,0.00835505,
US legal cup,Cubic inch,14.4375,
Fluid ounce,US liquid gallon,0.0078125,
Fluid ounce,US liquid quart,0.03125,
Fluid ounce,US liquid pint,0.0625,
Fluid ounce,US legal cup,0.125,
